Date,Temp
01/01/2008,0.301
01/01/2008,0.301
01/01/2008,0.301
01/01/2008,0.301
01/01/2008,0.301
01/01/2008,0.301
01/01/2008,0.301
01/01/2008,0.301
01/01/2008,0.301
01/01/2008,0.301
01/01/2008,0.301
01/01/2008,0.301
01/01/2008,0.301
01/01/2008,0.301
01/01/2008,0.301
01/01/2008,0.301
01/01/2008,0.301
01/01/2008,0.301
01/01/2008,0.301
01/01/2008,0.301
01/01/2008,0.301
01/01/2008,0.301
01/01/2008,0.301
01/01/2008,0.301
01/01/2008,0.301
01/01/2008,0.301
01/01/2008,0.301
01/01/2008,0.301
01/01/2008,0.301
01/01/2008,0.301
01/01/2008,0.301
01/01/2008,0.301
01/01/2008,0.301
01/01/2008,0.301
01/01/2008,0.301
01/01/2008,0.301
01/01/2008,0.301
01/01/2008,0.301
01/01/2008,0.301
01/01/2008,0.301
01/01/2008,0.301
01/01/2008,0.301
01/01/2008,0.301
01/01/2008,0.301
01/01/2008,0.301
01/01/2008,0.301
01/01/2008,0.301
01/01/2008,0.301
02/01/2008,0.301
02/01/2008,0.301
02/01/2008,0.301
02/01/2008,0.301
02/01/2008,0.301
02/01/2008,0.301
02/01/2008,0.301
02/01/2008,0.301
02/01/2008,0.301
02/01/2008,0.301
02/01/2008,0.301
02/01/2008,0.301
02/01/2008,0.301
02/01/2008,0.301
02/01/2008,0.301
02/01/2008,0.301
02/01/2008,0.301
02/01/2008,0.301
02/01/2008,0.301
02/01/2008,0.301
02/01/2008,0.301
02/01/2008,0.301
02/01/2008,0.301
02/01/2008,0.301
02/01/2008,0.301
02/01/2008,0.301
02/01/2008,0.301
02/01/2008,0.301
02/01/2008,0.301
02/01/2008,0.301
02/01/2008,0.301
02/01/2008,0.301
02/01/2008,0.301
02/01/2008,0.301
02/01/2008,0.301
02/01/2008,0.301
02/01/2008,0.301
02/01/2008,0.301
02/01/2008,0.301
02/01/2008,0.301
02/01/2008,0.301
02/01/2008,0.301
02/01/2008,0.301
02/01/2008,0.301
02/01/2008,0.301
02/01/2008,0.301
02/01/2008,0.301
02/01/2008,0.301
03/01/2008,0.301
03/01/2008,0.301
03/01/2008,0.301
03/01/2008,0.301
03/01/2008,0.301
03/01/2008,0.301
03/01/2008,0.301
03/01/2008,0.301
03/01/2008,0.301
03/01/2008,0.301
03/01/2008,0.301
03/01/2008,0.301
03/01/2008,0.301
03/01/2008,0.301
03/01/2008,0.301
03/01/2008,0.301
03/01/2008,0.301
03/01/2008,0.301
03/01/2008,0.301
03/01/2008,0.301
03/01/2008,0.301
03/01/2008,0.301
03/01/2008,0.301
03/01/2008,0.301
03/01/2008,0.301
03/01/2008,0.301
03/01/2008,0.301
03/01/2008,0.301
03/01/2008,0.301
03/01/2008,0.301
03/01/2008,0.301
03/01/2008,0.301
03/01/2008,0.301
03/01/2008,0.301
03/01/2008,0.301
03/01/2008,0.301
03/01/2008,0.301
03/01/2008,0.301
03/01/2008,0.301
03/01/2008,0.301
03/01/2008,0.301
03/01/2008,0.301
03/01/2008,0.301
03/01/2008,0.301
03/01/2008,0.301
03/01/2008,0.301
03/01/2008,0.301
03/01/2008,0.301
04/01/2008,0.301
04/01/2008,0.301
04/01/2008,0.301
04/01/2008,0.301
04/01/2008,0.301
04/01/2008,0.301
04/01/2008,0.301
04/01/2008,0.301
04/01/2008,0.301
04/01/2008,0.301
04/01/2008,0.301
04/01/2008,0.301
04/01/2008,0.301
04/01/2008,0.301
04/01/2008,0.301
04/01/2008,0.301
04/01/2008,0.301
04/01/2008,0.301
04/01/2008,0.301
04/01/2008,0.301
04/01/2008,0.301
04/01/2008,0.301
04/01/2008,0.301
04/01/2008,0.301
04/01/2008,0.301
04/01/2008,0.301
04/01/2008,0.273
04/01/2008,0.273
04/01/2008,0.273
04/01/2008,0.273
04/01/2008,0.273
04/01/2008,0.273
04/01/2008,0.273
04/01/2008,0.301
04/01/2008,0.273
04/01/2008,0.273
04/01/2008,0.273
04/01/2008,0.273
04/01/2008,0.273
04/01/2008,0.273
04/01/2008,0.273
04/01/2008,0.273
04/01/2008,0.273
04/01/2008,0.273
04/01/2008,0.273
04/01/2008,0.273
04/01/2008,0.273
04/01/2008,0.273
